,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
70,2024-07-30,3,4,0,1,0,1,4,5,3,6,21,36,,,,"(1, 2, 0)",Great Britain,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 1)",,,"(1, 0, 0)",,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2024-07-30,2,3,4,3,4,4,1,1,0,33,27,6,"(1, 1, 1)",,,"(2, 0, 2)",Italy,,"(0, 1, 0)",,,,,"(0, 1, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2024-07-30,0,0,1,2,2,2,2,2,1,18,3,15,"(0, 0, 1)","(1, 0, 0)",,"(1, 1, 0)",Canada,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2024-07-30,1,0,0,2,0,1,1,0,1,9,3,6,"(2, 0, 0)",,,"(0, 0, 1)","Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2024-07-30,1,0,0,1,0,0,2,0,0,3,3,6,,,,"(1, 0, 0)",Germany,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2024-07-30,1,0,1,0,0,1,1,0,2,3,6,9,,"(1, 0, 1)",,,Kazakhstan,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2024-07-30,0,0,2,1,0,2,1,0,0,9,6,3,,,,"(1, 0, 0)",South Africa,,,"(0, 0, 1)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2024-07-30,1,0,1,1,0,1,0,0,0,6,6,0,,,,,Belgium,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2024-07-30,1,0,0,1,0,1,0,0,1,6,3,3,,,,"(1, 0, 1)",Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
